"HOG","ID","Other_ID","Subclass","Status","gene_ID","Assembly_ID","ave_num"
"N0.HOG0000389","Rpr1","","NLR;CNL","Landrace",7,7,1
"N0.HOG0000389","Rpr1","","NLR;CNL","Wild",7,7,1
"N0.HOG0000391","Pik-e1","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-e1","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-e1","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pi1-5","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pi1-5","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pi1-5","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pi7-J-1","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pi7-J-1","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pi7-J-1","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pik-m1","Pikm1-TS","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-m1","Pikm1-TS","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-m1","Pikm1-TS","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pik-s1","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-s1","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-s1","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","PIK5-NP","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","PIK5-NP","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","PIK5-NP","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pik-h1","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-h1","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-h1","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pik-p1","","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-p1","","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-p1","","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000391","Pik-1","Pik1-KA","NLR;CNL;Pik-1","Landrace",31,29,1.06896551724138
"N0.HOG0000391","Pik-1","Pik1-KA","NLR;CNL;Pik-1","Cultivar",25,23,1.08695652173913
"N0.HOG0000391","Pik-1","Pik1-KA","NLR;CNL;Pik-1","Wild",13,12,1.08333333333333
"N0.HOG0000392","NLS1","","NLR;CNL","Wild",15,13,1.15384615384615
"N0.HOG0000392","NLS1","","NLR;CNL","Landrace",33,29,1.13793103448276
"N0.HOG0000392","NLS1","","NLR;CNL","Cultivar",24,22,1.09090909090909
"N0.HOG0000403","Pi36","","NLR;CNL","Wild",11,11,1
"N0.HOG0000403","Pi36","","NLR;CNL","Landrace",35,29,1.20689655172414
"N0.HOG0000403","Pi36","","NLR;CNL","Cultivar",23,22,1.04545454545455
"N0.HOG0000429","Pik-2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pik-p2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-p2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-p2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pik-s2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-s2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-s2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","PIK6-NP","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","PIK6-NP","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","PIK6-NP","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pik-m2","Pikm2-TS","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-m2","Pikm2-TS","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-m2","Pikm2-TS","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pik-e2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-e2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-e2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pi7-J-2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pi7-J-2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pi7-J-2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pi1-6","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pi1-6","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pi1-6","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000429","Pik-h2","","NLR;CNL;Pik-2","Wild",14,13,1.07692307692308
"N0.HOG0000429","Pik-h2","","NLR;CNL;Pik-2","Cultivar",23,23,1
"N0.HOG0000429","Pik-h2","","NLR;CNL;Pik-2","Landrace",30,29,1.03448275862069
"N0.HOG0000461","Pi-ta2","","NLR;CNL;RGA4","Cultivar",23,23,1
"N0.HOG0000461","Pi-ta2","","NLR;CNL;RGA4","Wild",14,11,1.27272727272727
"N0.HOG0000461","Pi-ta2","","NLR;CNL;RGA4","Landrace",29,29,1
"N0.HOG0000508","Pid3-A4","Pid3-W5","NLR;CNL","Wild",13,13,1
"N0.HOG0000508","Pid3-A4","Pid3-W5","NLR;CNL","Landrace",29,29,1
"N0.HOG0000508","Pid3-A4","Pid3-W5","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000508","Pid3-W3","","NLR;CNL","Wild",13,13,1
"N0.HOG0000508","Pid3-W3","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000508","Pid3-W3","","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000508","Pid3-W4","","NLR;CNL","Wild",13,13,1
"N0.HOG0000508","Pid3-W4","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000508","Pid3-W4","","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000508","Pid3-I1","","NLR;CNL","Wild",13,13,1
"N0.HOG0000508","Pid3-I1","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000508","Pid3-I1","","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000508","Pid3","Pid3-I3//Pid3-Digu//Pi25","NLR;CNL","Wild",13,13,1
"N0.HOG0000508","Pid3","Pid3-I3//Pid3-Digu//Pi25","NLR;CNL","Landrace",29,29,1
"N0.HOG0000508","Pid3","Pid3-I3//Pid3-Digu//Pi25","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000614","Pi5-1","Pii-1","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000614","Pi5-1","Pii-1","NLR;CNL","Wild",11,10,1.1
"N0.HOG0000614","Pi5-1","Pii-1","NLR;CNL","Landrace",29,29,1
"N0.HOG0000614","Pii-1","Pii","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000614","Pii-1","Pii","NLR;CNL","Wild",11,10,1.1
"N0.HOG0000614","Pii-1","Pii","NLR;CNL","Landrace",29,29,1
"N0.HOG0000634","Pi-ta","","NLR;CNL;MIC1","Cultivar",23,23,1
"N0.HOG0000634","Pi-ta","","NLR;CNL;MIC1","Wild",11,11,1
"N0.HOG0000634","Pi-ta","","NLR;CNL;MIC1","Landrace",29,29,1
"N0.HOG0000639","Pi5-2","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000639","Pi5-2","","NLR;CNL","Cultivar",22,22,1
"N0.HOG0000639","Pi5-2","","NLR;CNL","Wild",11,10,1.1
"N0.HOG0000639","Pii-2","Pi5-2 ","NLR;CNL","Landrace",29,29,1
"N0.HOG0000639","Pii-2","Pi5-2 ","NLR;CNL","Cultivar",22,22,1
"N0.HOG0000639","Pii-2","Pi5-2 ","NLR;CNL","Wild",11,10,1.1
"N0.HOG0000639","Pi5-3","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000639","Pi5-3","","NLR;CNL","Cultivar",22,22,1
"N0.HOG0000639","Pi5-3","","NLR;CNL","Wild",11,10,1.1
"N0.HOG0000790","Pb1","","NLR;CNL",NA,NA,NA,NA
"N0.HOG0000799","Wed","","NLR;CNL","Wild",2,2,1
"N0.HOG0000799","Wed","","NLR;CNL","Cultivar",6,6,1
"N0.HOG0000799","Wed","","NLR;CNL","Landrace",9,9,1
