cult_uniq,land_uniq,wild_uniq,inter_CW,inter_LW,inter_CL,inter_CLW,HOG
5,15,13,1,2,3,1,N0.HOG0000140
0,0,1,0,0,0,0,N0.HOG0000075
1,2,3,0,0,1,0,N0.HOG0000411
6,4,13,1,2,2,1,N0.HOG0000129
5,7,10,2,5,3,2,N0.HOG0000149
3,3,4,2,2,2,2,N0.HOG0000660
6,4,2,2,2,4,2,N0.HOG0000760
11,28,18,2,5,7,2,N0.HOG0000274
5,8,3,1,1,5,1,N0.HOG0000726
2,2,8,1,1,2,1,N0.HOG0000606
0,1,2,0,1,0,0,N0.HOG0000838
3,2,4,1,1,0,0,N0.HOG0000110
0,1,1,0,1,0,0,N0.HOG0000854
7,8,11,1,1,3,1,N0.HOG0000166
2,2,1,1,1,1,1,N0.HOG0000356
2,4,5,0,1,2,0,N0.HOG0000756
9,14,17,1,3,5,1,N0.HOG0000261
5,6,4,0,0,3,0,N0.HOG0000353
0,0,1,0,0,0,0,N0.HOG0000363
2,6,10,0,2,1,0,N0.HOG0000680
6,10,13,1,1,4,1,N0.HOG0000530
2,3,4,0,0,0,0,N0.HOG0000829
6,9,5,0,0,2,0,N0.HOG0000308
6,9,13,2,2,4,2,N0.HOG0000441
9,9,1,0,0,1,0,N0.HOG0000039
10,7,7,1,1,6,1,N0.HOG0000159
3,2,9,0,0,2,0,N0.HOG0000115
3,4,12,0,1,1,0,N0.HOG0000590
6,8,12,2,2,5,2,N0.HOG0000583
1,1,1,1,1,1,1,N0.HOG0000313
8,13,6,1,3,5,1,N0.HOG0000173
3,5,9,2,2,2,1,N0.HOG0000622
1,3,4,1,1,1,1,N0.HOG0000767
2,2,3,0,0,1,0,N0.HOG0000774
0,2,0,0,0,0,0,N0.HOG0000143
10,9,4,0,0,4,0,N0.HOG0000717
7,11,11,3,3,5,3,N0.HOG0000447
8,10,8,0,1,4,0,N0.HOG0000085
4,7,6,2,3,4,2,N0.HOG0000091
13,10,11,0,2,5,0,N0.HOG0000185
9,7,11,1,2,5,1,N0.HOG0000612
4,4,6,1,2,1,1,N0.HOG0000389
6,8,8,2,1,3,1,N0.HOG0000288
6,15,10,1,2,4,1,N0.HOG0000582
2,4,8,2,3,2,2,N0.HOG0000471
1,2,1,1,1,1,1,N0.HOG0000113
5,8,6,1,2,4,1,N0.HOG0000684
5,8,6,0,0,5,0,N0.HOG0000047
1,2,4,0,0,1,0,N0.HOG0000384
6,10,10,0,0,3,0,N0.HOG0000468
2,1,3,0,0,0,0,N0.HOG0000002
3,6,9,1,2,3,1,N0.HOG0000489
3,2,2,1,1,2,1,N0.HOG0000811
5,6,2,0,0,2,0,N0.HOG0000122
3,3,2,2,1,2,1,N0.HOG0000264
3,5,10,0,1,1,0,N0.HOG0000132
1,0,1,0,0,0,0,N0.HOG0000087
11,11,12,2,2,5,2,N0.HOG0000135
8,16,17,0,2,5,0,N0.HOG0000111
4,11,7,0,1,4,0,N0.HOG0000669
4,6,8,1,1,1,1,N0.HOG0000656
19,29,7,0,2,5,0,N0.HOG0000015
8,6,3,0,0,3,0,N0.HOG0000102
5,5,11,2,1,3,1,N0.HOG0000548
2,3,6,2,2,2,2,N0.HOG0000504
5,7,8,2,2,2,2,N0.HOG0000331
2,3,4,0,1,1,0,N0.HOG0000287
0,0,4,0,0,0,0,N0.HOG0000859
2,8,12,1,2,2,1,N0.HOG0000516
19,16,12,0,1,4,0,N0.HOG0000107
6,6,7,2,2,5,2,N0.HOG0000064
2,1,3,1,1,0,0,N0.HOG0000344
7,11,11,1,1,3,1,N0.HOG0000585
10,16,11,2,2,5,2,N0.HOG0000611
2,1,2,0,0,1,0,N0.HOG0000360
1,2,1,0,0,0,0,N0.HOG0000863
8,10,13,3,3,6,2,N0.HOG0000418
0,0,2,0,0,0,0,N0.HOG0000270
0,2,0,0,0,0,0,N0.HOG0000056
7,11,13,2,2,3,1,N0.HOG0000428
0,2,18,0,1,0,0,N0.HOG0000785
2,2,6,1,2,1,1,N0.HOG0000653
